date,GDP in billions of current dollars,GDP in billions of chained 2009 dollars,GDP percent change based on current dollars,GDP percent change based on chained 2009 dollars,unemployment
1941,129.4,1490.3,28.3,18.9,9.9
1942,166,1771.8,22.4,17,4.7
1943,203.1,2073.7,10.5,8,1.9
1944,224.6,2239.4,1.6,-1,1.2
1945,228.2,2217.8,-0.2,-11.6,1.9
1946,227.8,1960.9,9.7,-1.1,3.9
1947,249.9,1939.4,9.9,4.1,3.9
1948,274.8,2020,-0.7,-0.5,3.9
1949,272.8,2008.9,10,8.7,3.8
1950,300.2,2184,15.7,8.1,5.9
1951,347.3,2360,5.9,4.1,5.3
1952,367.7,2456.1,6,4.7,3.3
1953,389.7,2571.4,0.4,-0.6,3
1954,391.1,2556.9,9,7.1,2.9
1955,426.2,2739,5.6,2.1,5.5
1956,450.1,2797.4,5.5,2.1,4.4
1957,474.9,2856.3,1.5,-0.7,4.3
1958,482,2835.3,8.4,6.9,4.1
1959,522.5,3031,4,2.6,6.8
1960,543.3,3108.7,3.7,2.6,5.5
1961,563.3,3188.1,7.4,6.1,5.5
1962,605.1,3383.1,5.5,4.4,6.7
1963,638.6,3530.4,7.4,5.8,5.5
1964,685.8,3734,8.4,6.5,5.7
1965,743.7,3976.7,9.6,6.6,5.2
1966,815,4238.9,5.7,2.7,4.5
1967,861.7,4355.2,9.4,4.9,3.8
1968,942.5,4569,8.2,3.1,3.8
1969,1019.9,4712.5,5.5,0.2,3.6
1970,1075.9,4722,8.5,3.3,3.5
1971,1167.8,4877.6,9.8,5.2,4.9
1972,1282.4,5134.3,11.4,5.6,5.9
1973,1428.5,5424.1,8.4,-0.5,5.6
1974,1548.8,5396,9,-0.2,4.9
1975,1688.9,5385.4,11.2,5.4,5.6
1976,1877.6,5675.4,11.1,4.6,8.5
1977,2086,5937,13,5.6,7.7
1978,2356.6,6267.2,11.7,3.2,7.1
1979,2632.1,6466.2,8.8,-0.2,6.1
1980,2862.5,6450.4,12.2,2.6,5.8
1981,3211,6617.7,4.2,-1.9,7.1
1982,3345,6491.3,8.8,4.6,7.6
1983,3638.1,6792,11.1,7.3,9.7
1984,4040.7,7285,7.6,4.2,9.6
1985,4346.7,7593.8,5.6,3.5,7.5
1986,4590.2,7860.5,6.1,3.5,7.2
1987,4870.2,8132.6,7.9,4.2,7
1988,5252.6,8474.5,7.7,3.7,6.2
1989,5657.7,8786.4,5.7,1.9,5.5
1990,5979.6,8955,3.3,-0.1,5.3
1991,6174,8948.4,5.9,3.6,5.6
1992,6539.3,9266.6,5.2,2.7,6.8
1993,6878.7,9521,6.3,4,7.5
1994,7308.8,9905.4,4.9,2.7,6.9
1995,7664.1,10174.8,5.7,3.8,6.1
1996,8100.2,10561,6.3,4.5,5.6
1997,8608.5,11034.9,5.6,4.5,5.4
1998,9089.2,11525.9,6.3,4.7,4.9
1999,9660.6,12065.9,6.5,4.1,4.5
2000,10284.8,12559.7,3.3,1,4.2
2001,10621.8,12682.2,3.3,1.8,4
2002,10977.5,12908.8,4.9,2.8,4.7
2003,11510.7,13271.1,6.6,3.8,5.8
2004,12274.9,13773.5,6.7,3.3,6
2005,13093.7,14234.2,5.8,2.7,5.5
2006,13855.9,14613.8,4.5,1.8,5.1
2007,14477.6,14873.7,1.7,-0.3,4.6
2008,14718.6,14830.4,-2,-2.8,4.6
2009,14418.7,14418.7,3.8,2.5,5.8
2010,14964.4,14783.8,3.7,1.6,9.3
2011,15517.9,15020.6,4.1,2.2,9.6
